message_id,category,confidence,reason
MSG_0001,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0002,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0003,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0004,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0005,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0006,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0007,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0008,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0009,Personal Information,0.85,The message contains a personal detail about the sender or another person.
MSG_0010,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0011,Meeting or Event,0.75,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0012,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0013,Sensitive Information,0.65,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0014,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0015,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0016,Personal Information,0.65,The message contains a personal detail about the sender or another person.
MSG_0017,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0018,Sensitive Information,0.75,"The message contains a sensitive personal, financial, authentication, or health-related signal."
MSG_0019,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0020,Promotional,0.85,"The message contains promotional language such as a sale, discount, offer, or promotional code."
MSG_0021,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0022,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0023,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0024,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0025,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0026,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0027,Meeting or Event,0.65,"The message refers to a planned meeting, event, appointment, or scheduled activity."
MSG_0028,Action Required,0.75,The message asks the recipient to perform an action or complete something.
MSG_0029,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0030,General Information,0.75,"The message provides information without a clear action, event, personal detail, or promotional signal."
MSG_0031,Action Required,0.65,The message asks the recipient to perform an action or complete something.
MSG_0032,Action Required,0.75,The message asks the recipient to perform an action or complete something.
