message_id,sensitivity_type,risk,masked_text,recommended_action
MSG_0005,private_contact_information,medium,"Hi, My home address is ******.",process_locally
MSG_0013,payment_information,high,One more thing: My card number is ******.,do_not_store
MSG_0018,health_information,medium,One more thing: My recent ******.,process_locally
MSG_0074,authentication_token,high,Just checking—The temporary access token is ******,do_not_store
MSG_0078,health_information,medium,Can you help? My recent ******.,process_locally
MSG_0086,password,high,Use ****** to sign in to the test account.,do_not_store
MSG_0095,password,high,Please note: Use ****** to sign in to the test account.,do_not_store
MSG_0106,health_information,medium,Quick update: My recent ******.,process_locally
MSG_0117,authentication_token,high,Please note: The temporary access token is ******,do_not_store
MSG_0130,private_contact_information,medium,Can you help? My home address is ******.,process_locally
MSG_0140,password,high,Can you help? Use ****** to sign in to the test account.,do_not_store
MSG_0172,private_contact_information,medium,Important: My home address is ******.,process_locally
MSG_0187,health_information,medium,Just checking—My recent ******.,process_locally
MSG_0199,private_contact_information,medium,Quick update: My home address is ******.,process_locally
MSG_0243,one_time_password,high,Just checking—Your OTP is ******-50. It expires in 10 minutes.,do_not_store
MSG_0254,payment_information,high,For today: Please note my bank ******.,do_not_store
MSG_0257,payment_information,high,FYI: Please note my bank ******.,do_not_store
MSG_0267,payment_information,high,Please note: Please note my bank ******.,do_not_store
MSG_0273,one_time_password,high,Quick update: Your OTP is ******-20. It expires in 10 minutes.,do_not_store
MSG_0288,one_time_password,high,One more thing: Your OTP is ******-90. It expires in 10 minutes.,do_not_store
MSG_0344,password,high,"Hi, Use ****** to sign in to the test account.",do_not_store
MSG_0346,password,high,Quick update: Use ****** to sign in to the test account.,do_not_store
MSG_0351,authentication_token,high,Quick update: The temporary access token is ******,do_not_store
MSG_0352,payment_information,high,Can you help? Please note my bank ******.,do_not_store
MSG_0367,payment_information,high,"Hi, My card number is ******.",do_not_store
MSG_0376,password,high,For today: Use ****** to sign in to the test account.,do_not_store
MSG_0385,private_contact_information,medium,My home address is ******.,process_locally
MSG_0389,authentication_token,high,The temporary access token is ******,do_not_store
MSG_0397,payment_information,high,Just checking—Please note my bank ******.,do_not_store
MSG_0416,health_information,medium,Please note: My recent ******.,process_locally
MSG_0419,payment_information,high,Quick update: My card number is ******.,do_not_store
MSG_0436,authentication_token,high,For today: The temporary access token is ******,do_not_store
MSG_0471,password,high,FYI: Use ****** to sign in to the test account.,do_not_store
MSG_0475,private_contact_information,medium,Just checking—My home address is ******.,process_locally
MSG_0494,health_information,medium,FYI: My recent ******.,process_locally
MSG_0507,health_information,medium,Important: My recent ******.,process_locally
MSG_0532,private_contact_information,medium,For today: My home address is ******.,process_locally
MSG_0535,private_contact_information,medium,Please note: My home address is ******.,process_locally
MSG_0539,private_contact_information,medium,FYI: My home address is ******.,process_locally
MSG_0572,authentication_token,high,Can you help? The temporary access token is ******,do_not_store
MSG_0581,health_information,medium,My recent ******.,process_locally
MSG_0591,authentication_token,high,"Hi, The temporary access token is ******",do_not_store
MSG_0595,one_time_password,high,Can you help? Your OTP is ******-80. It expires in 10 minutes.,do_not_store
MSG_0596,one_time_password,high,For today: Your OTP is ******-30. It expires in 10 minutes.,do_not_store
MSG_0604,one_time_password,high,FYI: Your OTP is ******-70. It expires in 10 minutes.,do_not_store
MSG_0610,payment_information,high,Just checking—My card number is ******.,do_not_store
MSG_0642,payment_information,high,Important: Please note my bank ******.,do_not_store
MSG_0649,payment_information,high,Can you help? My card number is ******.,do_not_store
MSG_0681,payment_information,high,Important: My card number is ******.,do_not_store
MSG_0684,payment_information,high,For today: My card number is ******.,do_not_store
MSG_0687,authentication_token,high,Important: The temporary access token is ******,do_not_store
MSG_0715,authentication_token,high,FYI: The temporary access token is ******,do_not_store
MSG_0727,password,high,Just checking—Use ****** to sign in to the test account.,do_not_store
MSG_0739,health_information,medium,"Hi, My recent ******.",process_locally
MSG_0749,password,high,Important: Use ****** to sign in to the test account.,do_not_store
MSG_0751,payment_information,high,"Hi, Please note my bank ******.",do_not_store
MSG_0752,payment_information,high,Please note my bank ******.,do_not_store
MSG_0772,health_information,medium,For today: My recent ******.,process_locally
MSG_0777,password,high,One more thing: Use ****** to sign in to the test account.,do_not_store
MSG_0778,authentication_token,high,One more thing: The temporary access token is ******,do_not_store
MSG_0791,one_time_password,high,Please note: Your OTP is ******-10. It expires in 10 minutes.,do_not_store
MSG_0802,private_contact_information,medium,One more thing: My home address is ******.,process_locally
MSG_0803,payment_information,high,Please note: My card number is ******.,do_not_store
MSG_0812,payment_information,high,My card number is ******.,do_not_store
MSG_0813,payment_information,high,FYI: My card number is ******.,do_not_store
MSG_0834,one_time_password,high,Your OTP is ******. It expires in 10 minutes.,do_not_store
MSG_0848,payment_information,high,Quick update: Please note my bank ******.,do_not_store
MSG_0854,one_time_password,high,"Hi, Your OTP is ******-40. It expires in 10 minutes.",do_not_store
MSG_0880,one_time_password,high,Important: Your OTP is ******-60. It expires in 10 minutes.,do_not_store
MSG_0890,payment_information,high,One more thing: Please note my bank ******.,do_not_store
